,R(0.01),R(0.02),R(0.03),R(0.04),R(0.05),R(0.06),R(0.07),R(0.08),R(0.09),R(0.10),R(0.11),R(0.12),R(0.13),R(0.14),R(0.15)
2025-01-01 04:00:00+00:00,7785.160702164903,7103.436362065258,6894.8595963991465,6801.161079158475,6384.1700429962875,6142.526200876477,5820.259016700074,5760.689952146582,5412.112397898556,5409.154301605187,5224.3148443464015,5124.322955256917,4985.596550791815,4624.776141807408,4651.950846625339
2025-01-01 05:00:00+00:00,8214.978938493288,7414.2643421761895,7228.11193974725,7186.662354515887,6779.719079793846,6536.858354010154,6197.27124262826,6137.47705178913,5754.2622850094485,5782.886901927486,5570.629260144502,5453.56118006356,5323.009229646232,4942.3471807764945,5015.862350249663
2025-01-01 06:00:00+00:00,8518.006885925999,7556.066829976109,7309.5314648018175,7249.029881824543,6839.092717174295,6596.8286626939735,6259.118405910165,6151.254482659133,5780.277143179352,5776.969349328836,5527.315268084516,5401.709381583307,5261.750251954036,4888.5495091027915,4983.454234132951
2025-01-01 07:00:00+00:00,8800.273988126683,7750.486655538793,7460.768775924807,7406.927120059801,6891.56822541359,6663.593840800255,6331.312403249802,6157.852726472658,5827.808381214694,5760.210708395636,5486.413143195547,5365.314995758708,5214.245084008151,4850.603018210226,4910.785386341311
2025-01-01 08:00:00+00:00,9373.315475417701,8158.5218858187,7860.412760545019,7825.575343461598,7261.061734772455,7038.150962197535,6694.223040887366,6524.853010011888,6146.806154572849,6105.202569747547,5808.692141985368,5669.840688547381,5527.868131701471,5151.94099850284,5215.986514030323
2025-01-01 09:00:00+00:00,9851.050256144721,8644.883605147741,8227.099278137219,8242.325735134873,7335.580229484192,7156.119410106745,6840.699782648851,6443.08165189084,6255.1906785240135,5949.770179275256,5630.977726987243,5505.877296639301,5336.336939958957,5029.699111141461,4836.2313225200705
2025-01-01 10:00:00+00:00,11458.723517276376,9416.650054367223,8766.385790102802,8675.712520694266,8046.644462792618,7822.839385375315,7497.43585549124,7186.4221932519795,6747.925278318675,6647.489030297918,6222.843205078301,5968.995366465824,5865.652319806904,5549.443241776913,5260.049439299852
2025-01-01 11:00:00+00:00,12253.026882865124,10382.350624047802,9642.135618141285,9483.673873729756,9018.980018660688,8713.924831675642,8342.10410770394,7798.174178245237,7539.061831910512,7170.569561273427,6712.093557994507,6428.153923175225,6248.063283553565,6036.395568361579,5716.791227556481
2025-01-01 12:00:00+00:00,12476.020192794567,10464.404891646729,9478.303671181311,9072.611992776707,8678.927314945773,8316.884127910467,7961.805063366606,7351.39100431573,7154.978738754602,6693.578950945681,6191.023522250478,5916.391673354476,5687.3053872810415,5491.494725090437,5169.380960780283
2025-01-01 13:00:00+00:00,12463.643787721012,10729.909209337507,9874.033681758425,9434.652527055747,9050.756797789225,8640.106628260437,8240.38811830469,7778.889808741136,7508.983026750109,7170.528141036979,6719.439710493316,6479.0998936296455,6244.1410188118825,5963.892381055164,5840.222439594851
2025-01-01 14:00:00+00:00,12034.790972653544,10571.004466918646,9857.66039340799,9415.340437723884,9061.711679034328,8620.987308002907,8194.490411066909,7878.907900299113,7554.828042956033,7346.576266043463,6954.7575926366335,6747.973663790675,6524.10880896508,6186.842797693942,6167.735525745455
2025-01-01 15:00:00+00:00,11243.310329107888,9870.548357351647,9209.087580497224,8755.304695837265,8437.360157606185,7997.520905481579,7585.940855759254,7343.355494536016,7025.961470601636,6893.688586107783,6532.396376134362,6353.206440062604,6149.1946561646255,5810.823281943274,5734.223199294058
2025-01-01 16:00:00+00:00,10287.343815511282,9338.640916960307,8822.778962624405,8550.645494645774,7914.448700211098,7538.608653516458,7153.30728574004,6826.635437787285,6697.015209924437,6438.680748940991,6149.884795795566,6034.083172531893,5841.165274716601,5551.377326887523,5418.760546379548
2025-01-01 17:00:00+00:00,10161.703697312674,8656.953907538307,7963.845853002465,7693.579391065461,6971.327836475546,6664.958612374299,6355.831196701365,6046.788317077691,5853.6611103979085,5680.688958184488,5353.193460025643,5196.9588974818835,5083.024419555724,4834.6269155069895,4539.7694565467755
2025-01-01 18:00:00+00:00,10336.117278465732,8239.823365273223,7320.474370199736,6896.821478741513,6453.270476799233,6147.970407537294,5880.227187956123,5568.663717217831,5275.6025857191125,5157.538356927173,4759.544266464305,4527.312871965194,4438.128754615558,4260.922305778397,3946.440538482362
2025-01-01 19:00:00+00:00,9921.466428497573,8044.267899596314,7113.503572358197,6562.396497141308,6300.509451446116,5965.0084110490425,5690.552418862419,5316.486973505613,5092.199434997288,4852.220235966262,4467.305683295141,4248.996669716464,4092.951293291204,3967.61352316181,3782.5519431748544
2025-01-01 20:00:00+00:00,9227.6673196325,8031.226425661327,7298.710281211403,6828.808538962294,6410.381862298636,6076.908138114726,5779.897222792119,5387.058629012354,5284.648085872723,4934.395666025142,4640.400942758257,4494.317646647694,4293.876462455468,4149.988111874984,3994.786065478751
2025-01-01 21:00:00+00:00,9272.760398825572,8332.048538666604,7876.191486386328,7602.4934040165535,7166.670750368321,6832.203500983058,6482.810954978435,6269.9632597863165,6031.954209490206,5884.561313796774,5651.790397404897,5506.008189166561,5355.344006771753,5115.253172002747,4988.578959309227
2025-01-01 22:00:00+00:00,8912.701723268452,7610.658325378805,6926.607433659265,6509.2913811487815,6222.593286723291,5888.735976359683,5596.3643046962825,5369.639865199257,5122.575099583402,4990.83178951314,4706.835990128384,4538.984816553893,4399.9958032973955,4187.026192665486,3991.215132896359
2025-01-01 23:00:00+00:00,8296.499848750318,6919.165999417797,6132.728600824077,5625.182027088435,5403.201608143339,5077.722722633029,4825.721479338157,4588.43950204875,4370.556560204212,4222.1782920568,3922.8823311479428,3769.8352458568042,3620.6578369234703,3415.015503188857,3239.580575617758
2025-01-02 03:00:00+00:00,6577.922137487512,5679.136780593122,5126.2391989194075,4721.030009443093,4434.4024748755255,4184.257990623082,3969.6576359560204,3955.7527189789616,3624.6508594767292,3640.2385537264345,3451.8558685988683,3363.154787285792,3237.322939956568,2912.463130893273,3015.6579221996144
2025-01-02 04:00:00+00:00,6304.986048929,5352.514679622131,4750.896661696323,4331.192405730741,4160.585678990792,3901.7978357297543,3703.2860369620466,3704.843247699653,3364.7911344033637,3413.1599740784295,3219.0811233085915,3113.51466476934,3005.7485965931337,2689.1673976284874,2702.592956466404
2025-01-02 05:00:00+00:00,5734.90751889618,4831.396384309723,4119.532956927258,3662.2435172365367,3481.01028775319,3230.6690739912738,3073.7532477386485,2984.2350969660765,2763.46109623526,2702.016489140806,2507.754591013654,2413.998397976473,2298.3594531239287,2034.635720241895,2017.235586749659
2025-01-02 06:00:00+00:00,5317.54891891544,4260.109504066735,3413.573129624063,2883.5937426195815,2756.087308066213,2510.8066079687924,2397.4565510086104,2317.5080155208343,2098.4729812873848,2058.1382761737186,1858.55497410128,1753.3482327066158,1662.110850840967,1424.3385400386542,1430.7878465944086
2025-01-02 07:00:00+00:00,4802.882855920623,3718.901167200929,2774.1603272313296,2161.7064706116143,2111.7006641363405,1863.8520437015613,1783.7316906963024,1694.2382594075752,1505.1733846252828,1445.103471928378,1255.6759797959749,1146.80133968866,1060.9968179741409,867.5985389632042,898.8753453730387
