,Solar_Actual Aggregated,Wind Offshore_Actual Aggregated,Wind Onshore_Actual Aggregated
2022-01-01 01:00:00+01:00,0.0,,3177.0
2022-01-01 02:00:00+01:00,0.0,,3050.0
2022-01-01 03:00:00+01:00,0.0,,3133.0
2022-01-01 04:00:00+01:00,0.0,,3403.0
2022-01-01 05:00:00+01:00,0.0,,3610.0
2022-01-01 06:00:00+01:00,0.0,,3747.0
2022-01-01 07:00:00+01:00,0.0,,4056.0
2022-01-01 08:00:00+01:00,244.0,,4531.0
2022-01-01 09:00:00+01:00,962.0,,4837.0
2022-01-01 10:00:00+01:00,2410.0,,4843.0
2022-01-01 11:00:00+01:00,3698.0,,4583.0
2022-01-01 12:00:00+01:00,4270.0,,3890.0
2022-01-01 13:00:00+01:00,4332.0,,3230.0
2022-01-01 14:00:00+01:00,3567.0,,2835.0
2022-01-01 15:00:00+01:00,2174.0,,2577.0
2022-01-01 16:00:00+01:00,801.0,,3050.0
2022-01-01 17:00:00+01:00,244.0,,3901.0
2022-01-01 18:00:00+01:00,0.0,,4718.0
2022-01-01 19:00:00+01:00,0.0,,4918.0
2022-01-01 20:00:00+01:00,0.0,,4905.0
2022-01-01 21:00:00+01:00,0.0,,5112.0
2022-01-01 22:00:00+01:00,0.0,,4990.0
2022-01-01 23:00:00+01:00,0.0,,5052.0
2022-01-02 00:00:00+01:00,0.0,,5006.0
2022-01-02 01:00:00+01:00,0.0,,5152.0
2022-01-02 02:00:00+01:00,0.0,,5403.0
2022-01-02 03:00:00+01:00,0.0,,5644.0
2022-01-02 04:00:00+01:00,0.0,,6299.0
2022-01-02 05:00:00+01:00,0.0,,7041.0
2022-01-02 06:00:00+01:00,0.0,,7985.0
2022-01-02 07:00:00+01:00,0.0,,8643.0
2022-01-02 08:00:00+01:00,263.0,,8979.0
2022-01-02 09:00:00+01:00,623.0,,9171.0
2022-01-02 10:00:00+01:00,1476.0,,9030.0
2022-01-02 11:00:00+01:00,2163.0,,8919.0
2022-01-02 12:00:00+01:00,2516.0,,9289.0
2022-01-02 13:00:00+01:00,2620.0,,9867.0
2022-01-02 14:00:00+01:00,2296.0,,9872.0
2022-01-02 15:00:00+01:00,1472.0,,10222.0
2022-01-02 16:00:00+01:00,562.0,,11028.0
2022-01-02 17:00:00+01:00,246.0,,11762.0
2022-01-02 18:00:00+01:00,0.0,,12092.0
2022-01-02 19:00:00+01:00,0.0,,12157.0
2022-01-02 20:00:00+01:00,0.0,,12192.0
2022-01-02 21:00:00+01:00,0.0,,11882.0
2022-01-02 22:00:00+01:00,0.0,,11353.0
2022-01-02 23:00:00+01:00,0.0,,10914.0
2022-01-03 00:00:00+01:00,0.0,,10385.0
2022-01-03 01:00:00+01:00,0.0,,9951.0
2022-01-03 02:00:00+01:00,0.0,,9492.0
2022-01-03 03:00:00+01:00,0.0,,9085.0
2022-01-03 04:00:00+01:00,0.0,,8979.0
2022-01-03 05:00:00+01:00,0.0,,8833.0
2022-01-03 06:00:00+01:00,0.0,,8659.0
2022-01-03 07:00:00+01:00,0.0,,8428.0
2022-01-03 08:00:00+01:00,267.0,,8339.0
2022-01-03 09:00:00+01:00,716.0,,8333.0
2022-01-03 10:00:00+01:00,1661.0,,8445.0
2022-01-03 11:00:00+01:00,2471.0,,8855.0
2022-01-03 12:00:00+01:00,2912.0,,8946.0
2022-01-03 13:00:00+01:00,2982.0,,9041.0
2022-01-03 14:00:00+01:00,2525.0,,9109.0
2022-01-03 15:00:00+01:00,1585.0,,8743.0
2022-01-03 16:00:00+01:00,608.0,,8140.0
2022-01-03 17:00:00+01:00,242.0,,7959.0
2022-01-03 18:00:00+01:00,0.0,,7208.0
2022-01-03 19:00:00+01:00,0.0,,6614.0
