,net_load,DA_load,actual_load,DA_solar,DA_wind,actual_solar,actual_wind,net_load_24,net_load_25,net_load_26,DA_renewable,DA_renewable_1,DA_renewable_2,DA_renewable_3,DA_load_1,DA_load_2,DA_load_3,hour_sin,hour_cos
2024-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,0.0,1.0
2024-01-01 01:00:00+00:00,36625.0,51850.0,50992.0,0.0,14601.58,0.0,14367.0,,,,14601.58,,,,,,,0.25881904510252074,0.9659258262890683
2024-01-01 02:00:00+00:00,34794.0,49250.0,48187.0,0.0,14179.37,0.0,13393.0,,,,14179.37,14601.58,,,51850.0,,,0.49999999999999994,0.8660254037844387
2024-01-01 03:00:00+00:00,37872.0,47050.0,46479.0,0.0,13754.28,0.0,8607.0,,,,13754.28,14179.37,14601.58,,49250.0,51850.0,,0.7071067811865476,0.7071067811865476
2024-01-01 04:00:00+00:00,38037.0,46150.0,46285.0,0.0,13076.23,0.0,8248.0,,,,13076.23,13754.28,14179.37,14601.58,47050.0,49250.0,51850.0,0.8660254037844386,0.5000000000000001
2024-01-01 05:00:00+00:00,38546.0,45500.0,46633.0,0.0,12397.88,0.0,8087.0,,,,12397.88,13076.23,13754.28,14179.37,46150.0,47050.0,49250.0,0.9659258262890683,0.25881904510252074
2024-01-01 06:00:00+00:00,39122.0,45100.0,46820.0,0.0,11718.27,0.0,7698.0,,,,11718.27,12397.88,13076.23,13754.28,45500.0,46150.0,47050.0,1.0,6.123233995736766e-17
2024-01-01 07:00:00+00:00,39124.0,45300.0,46877.0,0.0,11301.4,246.0,7507.0,,,,11301.4,11718.27,12397.88,13076.23,45100.0,45500.0,46150.0,0.9659258262890683,-0.25881904510252063
2024-01-01 08:00:00+00:00,36469.0,45650.0,47690.0,239.11,10884.33,318.0,10903.0,,,,11123.44,11301.4,11718.27,12397.88,45300.0,45100.0,45500.0,0.8660254037844387,-0.4999999999999998
2024-01-01 09:00:00+00:00,37290.0,47850.0,49158.0,1469.18,10467.5,933.0,10935.0,,,,11936.68,11123.44,11301.4,11718.27,45650.0,45300.0,45100.0,0.7071067811865476,-0.7071067811865475
2024-01-01 10:00:00+00:00,37407.0,50550.0,50275.0,2915.24,10731.84,2454.0,10414.0,,,,13647.08,11936.68,11123.44,11301.4,47850.0,45650.0,45300.0,0.49999999999999994,-0.8660254037844387
