,net_load,DA_load,actual_load,DA_solar,DA_wind,actual_solar,actual_wind
2022-01-01 00:00:00+00:00,48477.0,49200.0,51654.0,0.0,2594.63,0.0,3177.0
2022-01-01 01:00:00+00:00,47110.0,47950.0,50160.0,0.0,2756.01,0.0,3050.0
2022-01-01 02:00:00+00:00,44117.0,44950.0,47250.0,0.0,2917.06,0.0,3133.0
2022-01-01 03:00:00+00:00,42021.0,43150.0,45424.0,0.0,3079.65,0.0,3403.0
2022-01-01 04:00:00+00:00,41643.0,42850.0,45253.0,0.0,3319.19,0.0,3610.0
2022-01-01 05:00:00+00:00,42038.0,43250.0,45785.0,0.0,3559.39,0.0,3747.0
2022-01-01 06:00:00+00:00,42429.0,43500.0,46485.0,0.0,3799.14,0.0,4056.0
2022-01-01 07:00:00+00:00,42378.0,43650.0,47153.0,0.0,3962.75,244.0,4531.0
2022-01-01 08:00:00+00:00,42134.0,43850.0,47933.0,226.76,4126.69,962.0,4837.0
2022-01-01 09:00:00+00:00,41658.0,45450.0,48911.0,1488.12,4291.25,2410.0,4843.0
2022-01-01 10:00:00+00:00,41708.0,46850.0,49989.0,3000.61,4278.76,3698.0,4583.0
2022-01-01 11:00:00+00:00,43641.0,49050.0,51801.0,3976.16,4265.63,4270.0,3890.0
2022-01-01 12:00:00+00:00,42923.0,49350.0,50485.0,4293.81,4252.12,4332.0,3230.0
2022-01-01 13:00:00+00:00,41596.0,46500.0,47998.0,3848.06,4102.25,3567.0,2835.0
2022-01-01 14:00:00+00:00,41734.0,44350.0,46485.0,2654.21,3953.12,2174.0,2577.0
2022-01-01 15:00:00+00:00,42598.0,43750.0,46449.0,1033.96,3804.86,801.0,3050.0
2022-01-01 16:00:00+00:00,45681.0,46300.0,49826.0,56.72,4307.86,244.0,3901.0
2022-01-01 17:00:00+00:00,48824.0,50100.0,53542.0,0.0,4811.89,0.0,4718.0
2022-01-01 18:00:00+00:00,49997.0,52100.0,54915.0,0.0,5316.3,0.0,4918.0
2022-01-01 19:00:00+00:00,48623.0,52000.0,53528.0,0.0,5210.14,0.0,4905.0
2022-01-01 20:00:00+00:00,46742.0,50100.0,51854.0,0.0,5104.69,0.0,5112.0
2022-01-01 21:00:00+00:00,47573.0,49150.0,52563.0,0.0,4999.53,0.0,4990.0
2022-01-01 22:00:00+00:00,48440.0,52000.0,53492.0,0.0,5082.27,0.0,5052.0
2022-01-01 23:00:00+00:00,48486.0,51300.0,53492.0,0.0,4973.41,0.0,5006.0
2022-01-02 00:00:00+00:00,44374.0,49050.0,49526.0,0.0,4890.66,0.0,5152.0
2022-01-02 01:00:00+00:00,42791.0,48500.0,48194.0,0.0,5121.54,0.0,5403.0
2022-01-02 02:00:00+00:00,39886.0,45900.0,45530.0,0.0,5349.63,0.0,5644.0
2022-01-02 03:00:00+00:00,38060.0,44800.0,44359.0,0.0,5577.92,0.0,6299.0
2022-01-02 04:00:00+00:00,37540.0,44450.0,44581.0,0.0,5974.49,0.0,7041.0
2022-01-02 05:00:00+00:00,37520.0,45600.0,45505.0,0.0,6367.32,0.0,7985.0
2022-01-02 06:00:00+00:00,37900.0,46800.0,46543.0,0.0,6757.96,0.0,8643.0
2022-01-02 07:00:00+00:00,38636.0,48200.0,47878.0,0.0,7313.33,263.0,8979.0
2022-01-02 08:00:00+00:00,40143.0,49750.0,49937.0,206.72,7870.51,623.0,9171.0
2022-01-02 09:00:00+00:00,41485.0,51450.0,51991.0,1260.06,8428.02,1476.0,9030.0
2022-01-02 10:00:00+00:00,42400.0,52400.0,53482.0,2444.04,9181.23,2163.0,8919.0
2022-01-02 11:00:00+00:00,44335.0,54300.0,56140.0,3191.55,9931.85,2516.0,9289.0
2022-01-02 12:00:00+00:00,41765.0,55150.0,54252.0,3249.06,10680.88,2620.0,9867.0
2022-01-02 13:00:00+00:00,39331.0,51650.0,51499.0,2812.05,10575.83,2296.0,9872.0
2022-01-02 14:00:00+00:00,38161.0,49950.0,49855.0,1921.0,10471.16,1472.0,10222.0
2022-01-02 15:00:00+00:00,38079.0,49550.0,49669.0,744.23,10368.83,562.0,11028.0
2022-01-02 16:00:00+00:00,40724.0,52300.0,52732.0,42.87,10171.44,246.0,11762.0
2022-01-02 17:00:00+00:00,44594.0,56300.0,56686.0,0.0,9973.98,0.0,12092.0
2022-01-02 18:00:00+00:00,45795.0,57350.0,57952.0,0.0,9775.07,0.0,12157.0
2022-01-02 19:00:00+00:00,43729.0,55700.0,55921.0,0.0,9669.06,0.0,12192.0
2022-01-02 20:00:00+00:00,41782.0,53000.0,53664.0,0.0,9562.82,0.0,11882.0
2022-01-02 21:00:00+00:00,42396.0,51600.0,53749.0,0.0,9455.83,0.0,11353.0
2022-01-02 22:00:00+00:00,43492.0,54400.0,54406.0,0.0,9392.51,0.0,10914.0
2022-01-02 23:00:00+00:00,44021.0,53300.0,54406.0,0.0,10708.51,0.0,10385.0
2022-01-03 00:00:00+00:00,40387.0,50850.0,50338.0,0.0,10116.43,0.0,9951.0
2022-01-03 01:00:00+00:00,39754.0,50200.0,49246.0,0.0,9711.32,0.0,9492.0
2022-01-03 02:00:00+00:00,37922.0,47550.0,47007.0,0.0,9304.48,0.0,9085.0
2022-01-03 03:00:00+00:00,37524.0,46550.0,46503.0,0.0,8898.31,0.0,8979.0
2022-01-03 04:00:00+00:00,40080.0,48950.0,48913.0,0.0,8645.69,0.0,8833.0
2022-01-03 05:00:00+00:00,45835.0,53900.0,54494.0,0.0,8390.8,0.0,8659.0
2022-01-03 06:00:00+00:00,51497.0,60100.0,59925.0,0.0,8134.09,0.0,8428.0
2022-01-03 07:00:00+00:00,54220.0,64200.0,62826.0,0.0,8345.68,267.0,8339.0
2022-01-03 08:00:00+00:00,54644.0,64500.0,63693.0,182.76,8559.04,716.0,8333.0
2022-01-03 09:00:00+00:00,53525.0,64950.0,63631.0,1076.84,8772.6,1661.0,8445.0
